earnings,college,female
285,0,0
400,1,0
1311,0,0
140,1,1
673,0,1
1250,1,1
800,1,0
1038,1,1
1346.15,1,0
350,0,1
500,0,0
720,1,0
1404,1,1
600,0,1
600,0,0
1000,1,1
360,0,1
673,0,0
360,0,1
1500,1,1
80,0,0
750,0,0
1442,0,0
750,0,0
814.15002,1,1
1192,1,0
20,0,0
288,0,0
884,1,1
2308,1,1
960,0,0
1923,1,1
2500,1,1
480,0,0
400,0,0
1990,0,0
440,0,1
923,1,1
262.5,0,1
2500,0,0
712,0,0
1192.3,1,0
600,0,0
2346,0,0
1153.84,0,1
520,0,0
1423,1,1
481,1,0
2885,1,0
288.45999,1,0
600,0,1
594,0,0
2230,1,1
2885,1,0
1192.3,1,1
150,0,1
63,0,0
1384.61,1,1
750,1,1
592,1,1
640,0,1
720,0,0
538,1,1
278.20001,0,1
1307,0,0
1120,1,0
525,1,1
896,0,1
769,0,1
2307,1,0
1057.6899,0,0
1462,0,1
1435,0,0
600,0,0
240,0,1
1635,1,0
2885,1,0
350,1,1
329,0,1
700,0,0
1275,0,0
1923.0699,1,1
1800,0,0
588,1,1
961.53003,0,0
1424,0,0
307,1,1
1000,1,1
600,0,1
1538,1,0
2115,1,1
1000,1,1
50,0,0
1153.84,0,0
640,0,0
606,0,0
1442.3,1,0
1173,0,0
1000,0,0
1050,0,0
430,0,1
827,1,0
300,0,0
600,0,0
600,1,1
560,0,0
692,0,1
1800,1,1
785,0,1
598,0,1
750,0,1
807.69,1,0
360,0,0
240,0,0
865,1,1
263,0,1
1115,1,1
931.20001,0,0
575.59998,0,1
198,0,0
820,0,0
365.38,1,0
920,1,0
830.76001,1,1
230.75999,0,0
1148,1,1
792,0,0
1153.84,1,0
1080,0,1
1154,1,0
600,1,0
93,0,1
2884,1,0
640,0,0
1712,1,1
741,0,1
480,0,1
923.07001,1,0
600,1,0
2000,0,0
500,0,1
145,0,0
1000,0,0
1000,0,0
673.07001,0,0
400,0,0
2403.8401,1,1
408,0,1
1900,0,0
167,0,1
730,0,0
865,1,1
1000,0,1
400,0,0
2154,1,1
923,0,0
320,0,1
711.53003,0,1
1250,1,0
1180,0,0
640,0,0
1058,0,0
270,0,1
1153,0,1
557,0,0
769.22998,0,0
600,0,0
480,0,0
552,0,1
1307,1,1
200,1,0
942,1,1
260,1,1
788,0,1
461.53,0,1
2300,0,0
150,0,1
451.92001,0,0
2115.3799,0,0
669,1,0
656,0,1
673,1,0
1154,1,0
166,0,1
1000,0,0
480,0,1
600,0,0
360,1,0
360,0,0
759,0,1
600,0,0
360,0,1
692.29999,1,0
923,1,0
1154,0,1
923,1,1
2558,1,0
1250,1,1
126,0,1
560,0,0
120,0,0
1384.61,0,0
1192,0,1
900,1,1
288,0,0
1096,1,0
480,0,1
1635,1,0
1000,0,0
2274,1,1
692,1,0
192.3,1,1
2884.6101,1,1
2884.6101,1,0
534,0,0
2885,0,0
1140,1,0
520,0,1
450,0,1
54,0,0
288,0,0
435,0,0
1200,1,1
1038.46,0,0
315,1,1
280,0,1
800,0,0
673.07001,1,0
1269,0,0
2885,1,0
880,0,0
1010,0,0
1809,1,0
1154,1,1
961,1,0
420,0,0
575,1,1
800,1,1
810,1,1
256.25,0,1
1240,1,1
315,0,0
730,1,0
2884.6101,1,0
840,0,0
280,0,1
550,0,1
100,0,1
324,0,1
784.60999,0,1
222,0,1
400,1,1
1730.76,0,0
224,0,1
692,1,0
250,0,1
2885,1,1
1576.92,1,0
315,0,0
2884.6101,1,0
1000,0,1
1720,0,0
600,1,1
906,0,1
525,0,0
692,1,1
2600,1,0
369.23001,0,1
769,0,1
112,0,1
724,1,1
375,1,1
2654,1,0
2846,1,1
300,0,1
840,1,1
995,0,1
280,0,1
550,0,1
700,0,0
2212,1,0
600,0,0
128,0,1
1107,1,1
600,0,0
1153,1,1
738,0,1
1153,1,0
576,0,1
1442.3,0,0
692,0,0
560,0,1
912,0,1
2884.6101,1,1
1615,1,0
1100,0,0
608,0,1
2212,1,0
885,1,1
878,1,0
440,0,1
360,0,1
1120,1,0
52,1,1
102,0,0
1444,0,0
2423.0701,1,0
730,1,1
615,1,0
480,1,0
1250,1,1
192.3,0,1
1384.61,0,0
360,0,0
807.69,1,0
750,0,0
440,0,0
1520,0,1
769,0,0
769,0,1
1055,0,0
769,1,1
285,0,1
1600,0,0
865,1,0
700,1,1
189,0,0
600,0,0
1769,1,0
180,0,1
600,0,0
769.22998,0,0
510,1,1
800,0,1
640,0,0
1731,1,1
1058,1,0
247.5,0,1
1054.8,1,1
1500,1,0
580,0,0
800,1,0
400,0,0
360,1,1
262.5,0,1
2885,1,0
2884.6101,0,0
1653,0,0
1192.3,1,0
1346,1,0
1269,1,1
1200,1,1
500,0,0
1560,0,0
538,0,1
228,0,1
880,1,0
700,0,1
430,0,1
590,0,1
692,0,1
1000,0,0
144,0,1
157.5,0,1
738.46002,1,1
868,0,1
1009.61,1,0
1150,0,1
490,0,0
520,0,1
961,0,1
1153,1,1
540,0,0
845,0,0
260,1,1
800,0,0
1250,1,1
1025.7,1,0
115.38,0,1
150,0,0
2407,0,0
480,0,1
2885,1,0
720,1,1
180,0,0
1442,1,1
1346,1,0
2884.6101,1,0
461.53,0,1
1080,1,1
1380,0,0
1538.46,1,1
485.60001,0,0
2230,1,1
1730.76,0,0
275,0,1
961.53003,1,1
584.5,0,1
360,0,1
2115,1,0
2538,1,1
576,0,0
600,1,1
131,0,1
418,0,1
600,1,1
770,0,1
865.38,1,1
1384.61,0,0
158,0,0
288,0,1
442,0,1
600,0,0
646,0,0
2120,0,0
330,0,0
1572,0,0
769,0,1
633,0,0
900,1,0
87,0,1
1278.1899,1,0
1260,1,1
325,1,1
2885,1,1
817,0,1
423.07001,0,1
808,1,0
600,1,1
1923,1,1
759,0,1
2885,0,0
560,1,1
1154,0,0
300,1,0
405.12,0,1
1538.46,1,1
200,0,1
737.59998,0,0
423,1,0
1153.84,1,1
1442,1,1
2000,1,0
350,0,1
730,0,0
720,0,0
520,0,1
375,0,1
105,0,0
428.79999,0,1
903,1,1
807,0,0
150,0,1
2307,1,0
1600,1,0
2884.6101,0,0
88,1,1
336,1,1
1538.46,0,0
1461,0,1
2884.6101,1,0
169,0,1
680,0,0
1154,0,0
387.5,0,1
400,1,1
378,0,0
1500,1,1
1346,0,0
1270,0,0
700,0,0
425,0,1
1977.5,1,1
44,0,1
525,0,1
600,0,1
550,0,0
1200,0,0
992,0,0
1154,0,0
1365.38,0,1
670,0,0
2884.6101,1,1
420,0,1
1791.73,1,0
1014,0,1
960,1,0
808,1,0
400,1,1
256,0,1
860,0,0
700,0,1
1730.76,1,1
1269.23,0,0
192,0,0
300,0,0
999,0,1
500,0,1
1000,1,1
175,0,1
68,0,1
325,0,1
400,0,0
1485,0,0
800,0,0
760,0,0
1731,0,1
769,1,0
512,1,0
1900,0,0
673,0,0
1577,1,0
884,0,1
270,0,1
538,0,0
570,0,1
2692,1,0
200,0,1
840,1,1
711,1,1
1615.38,0,0
380,0,1
270,0,1
2365.3799,1,0
1712,0,1
961,0,0
108,0,1
1731,1,0
100,1,0
673.59998,0,1
380,0,1
914.5,0,0
737,1,1
1538,1,0
462,1,1
600,0,0
1000,1,0
1684.61,0,0
1577,1,1
730,0,1
1000,0,0
480,0,0
1442,1,0
750,0,0
972,1,1
2884.6101,1,0
1115.38,1,1
1153,0,0
590,0,1
1000,1,0
788,1,0
712,0,0
2885,1,0
720,0,1
1700,1,1
450,0,0
600,0,0
995,0,1
1154,0,1
2115.3799,1,1
840,0,1
673.07001,1,1
1136.36,1,1
1923,1,1
1153,0,0
1730.76,0,0
520,0,1
140,0,1
189.44,0,0
680,0,0
1250,1,1
288,0,1
990,1,0
800,0,0
1818,0,0
769.22998,1,1
360,0,1
665,0,1
557,0,1
2019.23,1,1
640,0,0
880,1,1
200,1,0
276.92001,1,0
800,0,0
1730,0,1
1449,0,1
500,0,1
307.69,0,0
865.38,1,0
1250,1,0
797,1,1
360,0,1
1583.33,1,0
2600,1,0
788,0,1
1385,1,1
2500,1,0
1230.76,1,0
2115,0,0
740,0,1
900,0,1
1096,0,0
576,0,0
981.15002,1,1
1600,0,0
1378,0,0
800,1,1
649,1,1
269,1,1
1500,1,0
1065,1,1
500,0,1
300,0,1
1300,0,0
100,0,1
500,0,0
600,0,0
651.01001,0,0
1153.84,1,1
469.20001,0,1
1062,1,1
609,0,1
1000,0,1
1385,1,1
640,0,0
720,0,0
538,1,1
555,0,1
1826.92,1,0
1073.2,1,1
1153,1,0
988,0,1
580,0,1
1737,1,1
600,0,1
42,1,1
2307.6899,1,0
697.59998,0,0
308,0,1
784.60999,1,1
1923,1,0
577,1,1
238,0,0
1200,1,1
2115,1,0
275,0,1
500,0,0
760,0,0
865,0,0
384,0,0
1442.3,1,0
1377.6,0,0
466,0,1
2211.53,1,0
2308,1,0
850,0,0
1384,1,0
200,0,1
1444,1,0
1346.15,1,0
720,1,1
961.53003,0,0
660,0,0
600,0,1
2480,1,1
1346.15,1,1
673,1,1
884.60999,0,1
1250,0,0
192,0,1
1240,0,0
1154,1,1
680,0,1
577,1,0
923.07001,1,1
270,0,0
1600,0,0
2125,1,0
937.5,0,0
480,0,1
2307.6899,1,1
2885,1,1
348.48001,0,1
801,0,0
462,1,1
57,0,0
1004,0,0
538.46002,0,0
312.5,0,0
487.5,0,1
855,1,0
2692,1,0
680,1,0
1384.61,1,0
200,0,1
570,0,1
553,0,0
670.79999,0,1
596,0,1
504,0,1
654.73999,0,1
2885,0,0
1057.6899,1,1
1037.5,0,0
600,0,0
1442,0,0
1153,1,0
1384,1,0
1346.15,1,0
790,0,1
746,0,0
250,1,1
865.38,0,1
265,1,1
370,0,1
828,0,1
960,1,1
608,0,1
2884.6101,1,0
414,1,0
323.07001,0,1
2884.6101,1,0
807.69,0,0
540,0,0
1153.84,1,1
430,0,1
680,1,1
840,0,0
2846,1,1
756,0,0
480,1,1
220,0,1
2500,1,0
2320,1,0
1080,1,1
1923,1,1
600,0,1
850,1,1
846.15002,0,0
320,0,0
2326,1,1
760,0,0
673,1,1
1000,1,1
461.53,0,1
1346,0,0
640,0,1
673,0,0
1115.38,0,0
1115.38,0,0
904,1,0
2885,1,0
200,1,1
580,0,0
2884.6101,1,0
50,1,1
1076,0,0
700,1,0
602,0,1
461.53,0,0
673.07001,0,0
760,0,0
1500,1,0
576,1,1
450,0,0
730,0,1
853,1,1
1346.15,1,0
640,0,1
769,0,0
865.38,0,0
560,0,1
300,0,1
800,1,0
423,0,0
1058,1,0
2212,0,0
129,0,0
1461,1,0
1430,0,0
1600,1,1
1096.15,1,0
1057,1,0
1923,1,0
880,0,0
270,0,1
769.20001,0,1
2500,1,0
480,0,1
210,0,0
289,0,1
20.040001,0,0
924,0,0
2692.3,1,0
769,0,0
800,0,0
480,0,1
420,1,0
326.92001,0,1
50,0,1
440,1,1
769,0,1
600,0,0
700,0,0
1346,0,1
722,1,0
1182.6899,1,1
675,0,0
1846,1,1
175,1,0
1154,0,1
490.79999,0,1
1923.0699,1,0
1635,1,0
1153,0,1
200,1,1
150,1,1
460,0,1
1538,1,0
461.53,0,0
600,1,0
1211,1,0
928,0,1
2307,1,1
342,0,1
720,0,0
1600,1,1
420,1,1
738,0,1
650,0,1
576,0,0
420,0,0
1826.92,1,1
2885,1,0
500,0,1
258,1,0
408,0,1
2308,1,1
750,0,0
1154,1,1
120,0,0
763,0,0
1200,0,0
2300,1,0
1154,0,0
520,0,1
640,0,0
800,0,1
605,0,0
780,0,0
2884.6101,1,0
1400,1,1
961,1,1
1788,1,0
520,0,1
572,0,1
306,0,0
1250,0,0
2484,1,1
538,1,0
1152,0,0
1922.8,1,0
520,0,1
2885,1,1
360,0,1
2885,1,0
2884,1,0
769.22998,1,1
720,0,0
769.22998,1,0
2885,1,0
400,0,0
1431,1,1
1730.76,1,1
769,0,0
2023,0,0
300,1,0
1846.15,0,0
144,0,0
429,0,0
620,0,0
2115.3799,0,0
769,1,0
600,0,1
615,1,1
596,0,0
576.91998,1,0
640,0,0
420,0,1
981,1,1
520,1,0
464.32001,0,0
1760,0,0
2885,1,0
633,0,0
400,0,1
1600,1,1
235.2,0,1
769,0,1
786,0,1
175,1,0
1192.3,1,1
540,1,1
406,1,0
506,0,1
808,0,0
961,0,1
401.25,0,1
600,0,0
360,0,1
384,0,1
450,0,1
872,0,0
330,0,1
961.53003,0,1
1440,1,1
700,0,1
560,0,1
1538,0,0
264,1,0
720,0,0
1040,0,1
2365.3799,1,1
1442,0,0
923,1,1
1000,0,0
1442,1,1
9,0,1
590.76001,0,0
769.22998,0,1
200,0,1
350,0,0
2884,1,0
1153.84,0,0
865,0,1
914,0,1
480,0,1
192,1,1
2250,1,1
128,0,0
39,0,0
180,0,1
2211.53,1,1
750,0,0
788,0,1
2885,1,0
446,0,1
184,0,1
600,0,0
1085,0,1
1673.0699,0,0
1248,1,0
1360,1,0
1384,1,0
300,0,1
850,0,1
277,0,1
740,1,0
480,0,1
1442.3,1,0
923,0,1
1096.15,0,0
1400,1,1
923,0,0
2404,1,0
330,0,0
1800,0,0
64,0,1
2038,0,0
200,1,1
1615,1,0
1923.0699,1,1
1013,0,0
1923.0699,0,0
320,0,1
685,1,1
570,1,1
750,0,0
1653.84,1,1
538,0,1
550,0,0
640,0,0
769,1,1
877,1,0
784,1,0
1307.6899,1,1
769,0,0
1200,1,1
400,0,0
1990,0,0
720,0,1
1153,1,1
366.04999,0,1
165.38,0,0
600,0,1
83,0,1
980,0,0
1154,0,0
153.44,0,1
